short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	coll_cache:solve_time	Step(average) L2 feat copy	Step(average) L1 train total	Step(average) L1 sample	Step(average) L1 recv	Time.L	Time.R	Time.C	Wght.L	Wght.R	Wght.C	optimal_local_rate	optimal_remote_rate	optimal_cpu_rate	Thpt.L	Thpt.R	Thpt.C	SizeGB.L	SizeGB.R	SizeGB.C	coll_cache:local_cache_rate	coll_cache:remote_cache_rate	coll_cache:global_cache_rate	train_process_time	epoch_time:train_total	epoch_time:copy_time	coll_cache:z
dlrm	CliqPart	1.000000	32768	SP_02_S100_C800m	None	0.004200	0.010982	0.000000	0.000000	0.003747	0.000000	0.000000	100.000000	0.000000	0.000000	0.241151	0.723453	0.035397	104.250067	nan	nan	0.390625	0.000000	0.000000	0.010000	0.030000	0.040000	nan	nan	nan	None
dlrm	MPSPhaseCliqPart	1.000000	32768	SP_02_S100_C800m	None	0.002524	0.008005	0.000000	0.000000	0.000148	0.001894	0.001771	23.912500	71.735000	4.352500	0.241151	0.723453	0.035396	631.136508	147.948703	9.600199	0.093408	0.280215	0.017002	0.010000	0.030000	0.040000	nan	nan	nan	None
dlrm	Rep	1.000000	32768	SP_02_S100_C800m	None	0.004290	0.010535	0.000000	0.000000	0.003862	0.000000	0.000000	100.000000	0.000000	0.000000	0.935351	0.000000	0.064649	101.145779	nan	nan	0.390625	0.000000	0.000000	0.010000	0.000000	0.010000	nan	nan	nan	None
dlrm	MPSPhaseRep	1.000000	32768	SP_02_S100_C800m	None	0.003298	0.008724	0.000000	0.000000	0.000984	0.000000	0.002836	93.330000	0.000000	6.670000	0.935356	0.000000	0.064644	370.498285	nan	9.187125	0.364570	0.000000	0.026055	0.010000	0.000000	0.010000	nan	nan	nan	None
dlrm	CollAsymm	1.000000	32768	SP_02_S100_C800m	0.500000	0.004069	0.009683	0.000000	0.000000	0.003632	0.000000	0.000000	100.000000	0.000000	0.000000	0.584542	0.379797	0.035661	107.550936	nan	nan	0.390625	0.000000	0.000000	0.009821	0.029634	0.039455	nan	nan	nan	None
dlrm	MPSPhaseCollAsymm	1.000000	32768	SP_02_S100_C800m	0.390000	0.002405	0.008750	0.000000	0.000000	0.000413	0.001276	0.001917	56.487500	39.037500	4.475000	0.559734	0.403456	0.036810	534.271905	119.506453	9.118659	0.220654	0.152490	0.017480	0.009971	0.029228	0.039199	nan	nan	nan	None
dlrm	HPS	1.000000	32768	SP_02_S100_C800m	None	0.013603	0.020095	0.000000	0.000000	0.000000	0.000000	0.000000	nan	nan	nan	None	None	None	nan	nan	nan	0.000000	0.000000	0.000000	0.010000	0	0.010000	nan	nan	nan	None
dlrm	SOK	1.000000	32768	SP_02_S100_C800m	None	nan	nan	None	None	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.010000	0	0.010000	nan	nan	nan	None
dcn	CliqPart	1.000000	32768	SP_02_S100_C800m	None	0.004229	0.039135	0.000000	0.000000	0.003743	0.000000	0.000000	100.000000	0.000000	0.000000	0.241150	0.723450	0.035400	104.361475	nan	nan	0.390625	0.000000	0.000000	0.010000	0.030000	0.040000	nan	nan	nan	None
dcn	MPSPhaseCliqPart	1.000000	32768	SP_02_S100_C800m	None	0.002569	0.037046	0.000000	0.000000	0.000187	0.001861	0.001837	23.910000	71.737500	4.352500	0.241151	0.723452	0.035397	499.456885	150.577437	9.255282	0.093398	0.280225	0.017002	0.010000	0.030000	0.040000	nan	nan	nan	None
